,p1_strategy,p2_strategy,n,u1_mean,u1_ci95,u2_mean,u2_ci95
0,Cooperative,Cooperative,50,3.0,0.0,3.0,0.0
1,Cooperative,Reasoning,50,0.0,0.0,5.0,0.0
2,Cooperative,Greedy,50,0.0,0.0,5.0,0.0
3,Reasoning,Cooperative,50,5.0,0.0,0.0,0.0
4,Reasoning,Reasoning,50,1.0,0.0,1.0,0.0
5,Reasoning,Greedy,50,1.0,0.0,1.0,0.0
6,Greedy,Cooperative,50,5.0,0.0,0.0,0.0
7,Greedy,Reasoning,50,1.0,0.0,1.0,0.0
8,Greedy,Greedy,50,1.0,0.0,1.0,0.0
